"File","LineNumber","Line"
"__tests__\__mocks__\firebase.ts","17","currentUser: null,"
"__tests__\stripe-webhook.test.ts","32","const userDoc = {"
"__tests__\stripe-webhook.test.ts","33","id: 'test-user',"
"__tests__\stripe-webhook.test.ts","40","docs: [userDoc],"
"__tests__\stripe-webhook.test.ts","50","expect(userDoc.ref.update).toHaveBeenCalledWith({"
"__tests__\stripe-webhook.test.ts","70","const userDoc = {"
"__tests__\stripe-webhook.test.ts","71","id: 'test-user',"
"__tests__\stripe-webhook.test.ts","78","docs: [userDoc],"
"__tests__\stripe-webhook.test.ts","88","expect(userDoc.ref.update).toHaveBeenCalledWith({"
"__tests__\usage.test.ts","37","const uid = 'test-user-123';"
"__tests__\usage.test.ts","45","describe('getUserProfile', () => {"
"__tests__\usage.test.ts","56","const profile = await usage.getUserProfile(uid);"
"__tests__\usage.test.ts","62","mockAuth.currentUser = { email: 'test@example.com' };"
"__tests__\usage.test.ts","64","const profile = await usage.getUserProfile(uid);"
"__tests__\usage.test.ts","97","it('allows pro users to exceed limit', async () => {"
"__tests__\usage.test.ts","110","it('returns true for pro users', async () => {"
"app\account\billing\page.tsx","1","import { useAuth } from '@/lib/auth/hooks';"
"app\account\billing\page.tsx","2","import { getUserProfile } from '@/lib/firestore/usage';"
"app\account\billing\page.tsx","3","import { useEffect, useState } from 'react';"
"app\account\billing\page.tsx","7","const { user } = useAuth();"
"app\account\billing\page.tsx","8","const [profile, setProfile] = useState<any>(null);"
"app\account\billing\page.tsx","9","const [loading, setLoading] = useState(false);"
"app\account\billing\page.tsx","10","const [portalLoading, setPortalLoading] = useState(false);"
"app\account\billing\page.tsx","12","useEffect(() => {"
"app\account\billing\page.tsx","14","if (!user) return;"
"app\account\billing\page.tsx","17","const p = await getUserProfile(user.uid);"
"app\account\billing\page.tsx","26","}, [user]);"
"app\account\billing\page.tsx","31","const token = await user.getIdToken();"
"app\account\billing\page.tsx","48","const token = await user.getIdToken();"
"app\account\billing\page.tsx","62","if (!user) return <div className=""p-8"">Please sign in to view billing.</div>;"
"app\account\billing\page.tsx","67","<h1 className=""text-2xl font-semibold mb-4"">Billing & Subscription</h1>"
"app\api\draft\generate\logger.ts","10","mock_used: boolean;"
"app\api\draft\generate\retry.test.ts","6","vi.useFakeTimers();"
"app\api\draft\generate\retry.test.ts","10","vi.useRealTimers();"
"app\api\draft\generate\retry.test.ts","21","vi.useRealTimers();"
"app\api\draft\generate\retry.test.ts","43","vi.useRealTimers();"
"app\api\draft\generate\route.ts","1","import { canonicalizeTone } from './tone-map';"
"app\api\draft\generate\route.ts","16","type Tone = ""warm"" | ""professional"" | ""direct"" | ""empathetic"";"
"app\api\draft\generate\route.ts","17","type Safeguard = ""privacy"" | ""tone-check"" | ""de-escalation"" | ""bias-check"" | ""no-diagnosis"";"
"app\api\draft\generate\route.ts","24","tone: Tone;"
"app\api\draft\generate\route.ts","43","// Accept friendly labels; route will canonicalize via tone-map"
"app\api\draft\generate\route.ts","44","tone: { type: ""string"" },"
"app\api\draft\generate\route.ts","47","required: [""language"", ""tone"", ""notes""]"
"app\api\draft\generate\route.ts","68","// Simple per-user rate limiting"
"app\api\draft\generate\route.ts","99","const toneCanon = canonicalizeTone(body.tone);"
"app\api\draft\generate\route.ts","100","if (!toneCanon) {"
"app\api\draft\generate\route.ts","102","try { console.warn(""TELEMETRY: unmapped_tone_label"", { received: body.tone }); } catch {}"
"app\api\draft\generate\route.ts","105","error: ""Unsupported tone label"","
"app\api\draft\generate\route.ts","106","allowedLabels: ["
"app\api\draft\generate\route.ts","131","let mockUsed = false;"
"app\api\draft\generate\route.ts","140","""Write a short parent-ready comment in the requested tone and language."","
"app\api\draft\generate\route.ts","141","""Return strictly the following JSON keys: opening_line, main_comment, closing_line, tone, safeguards_applied, meta."","
"app\api\draft\generate\route.ts","142","""- tone must be one of: warm, professional, direct, empathetic."","
"app\api\draft\generate\route.ts","160","{ role: ""user"", content: `tone=${toneCanon}; language=${body.language}; ${prompt}` },"
"app\api\draft\generate\route.ts","178","candidate.tone = toneCanon;"
"app\api\draft\generate\route.ts","206","mock_used: false"
"app\api\draft\generate\route.ts","218","mockUsed = true;"
"app\api\draft\generate\route.ts","222","""Based on the details you shared, here is a clear, school-ready draft that acknowledges strengths and suggests one next step. We will focus on structuring ideas before writing and using a simple checklist to get started independently."","
"app\api\draft\generate\route.ts","223","closing_line: ""If helpful, I can share example prompts for that checklist."","
"app\api\draft\generate\route.ts","224","tone: toneCanon,"
"app\api\draft\generate\route.ts","225","safeguards_applied: [""privacy"", ""tone-check"", ""bias-check""],"
"app\api\draft\generate\route.ts","238","mock_used: mockUsed"
"app\api\draft\generate\route.ts","253","mock_used: mockUsed"
"app\api\draft\generate\route.ts","270","mock_used: mockUsed"
"app\api\draft\generate\timeout.test.ts","6","vi.useFakeTimers();"
"app\api\draft\generate\timeout.test.ts","10","vi.useRealTimers();"
"app\api\draft\generate\timeout.test.ts","36","it('should use default 10s timeout if not specified', async () => {"
"app\api\draft\generate\tone-map.ts","1","export type CanonicalTone = ""warm"" | ""professional"" | ""direct"" | ""empathetic"";"
"app\api\draft\generate\tone-map.ts","3","const toneMap: Record<string, CanonicalTone> = {"
"app\api\draft\generate\tone-map.ts","19","export function canonicalizeTone(input: any): CanonicalTone | undefined {"
"app\api\draft\generate\tone-map.ts","21","const key = input.trim().toLowerCase();"
"app\api\draft\generate\tone-map.ts","22","return toneMap[key] ?? ([""warm"",""professional"",""direct"",""empathetic""].includes(key) ? (key as CanonicalTone) : undefined);"
"app\api\stripe\checkout\route.ts","59","await dbAdmin.doc(`users/${uid}`).update({"
"app\api\stripe\portal\route.ts","20","// Find Stripe customer ID for user"
"app\api\stripe\portal\route.ts","21","// (Assume Firestore user doc has stripeCustomerId)"
"app\api\stripe\portal\route.ts","23","// For demo, just use a placeholder"
"app\api\stripe\webhook\route.ts","21","// Find user by Stripe customer ID"
"app\api\stripe\webhook\route.ts","22","const userSnapshot = await dbAdmin"
"app\api\stripe\webhook\route.ts","23",".collection('users')"
"app\api\stripe\webhook\route.ts","28","if (userSnapshot.empty) {"
"app\api\stripe\webhook\route.ts","29","console.error(`No user found for Stripe customer ${customerId}`);"
"app\api\stripe\webhook\route.ts","33","const userDoc = userSnapshot.docs[0];"
"app\api\stripe\webhook\route.ts","36","await userDoc.ref.update({"
"app\api\stripe\webhook\route.ts","42","console.log(`Updated user ${userDoc.id} plan to ${isActive ? 'pro' : 'free'}`);"
"app\api\stripe\webhook\route.ts","52","// If TEST_MODE is enabled, allow mocked events without signature (for CI/local tests)"
"app\api\stripe\webhook\route.ts","90","const userSnapshot = await dbAdmin.collection('users').where('stripeCustomerId', '==', customerId).limit(1).get();"
"app\api\stripe\webhook\route.ts","91","const uid = !userSnapshot.empty ? userSnapshot.docs[0].id : undefined;"
"app\auth\reset-password\page.tsx","8","<h1 className=""text-2xl font-semibold"">Reset password</h1>"
"app\auth\signin\page.tsx","8","<h1 className=""text-2xl font-semibold"">Welcome back</h1>"
"app\auth\signup\page.tsx","8","<h1 className=""text-2xl font-semibold"">Create an account</h1>"
"app\classes\page.tsx","2","import { useAuth } from '@/lib/auth';"
"app\classes\page.tsx","6","const { user } = useAuth();"
"app\classes\page.tsx","7","const uid = user?.uid ?? '';"
"app\components\auth\ProtectedRoute.tsx","1","""use client"";"
"app\components\auth\ProtectedRoute.tsx","3","import { ReactNode, useEffect } from ""react"";"
"app\components\auth\ProtectedRoute.tsx","4","import { useRouter } from ""next/navigation"";"
"app\components\auth\ProtectedRoute.tsx","5","import { useAuth } from ""@/lib/auth"";"
"app\components\auth\ProtectedRoute.tsx","17","const { user, status } = useAuth();"
"app\components\auth\ProtectedRoute.tsx","18","const router = useRouter();"
"app\components\auth\ProtectedRoute.tsx","20","useEffect(() => {"
"app\components\auth\ProtectedRoute.tsx","22","}, [status, user, router, redirectTo]);"
"app\components\auth\ProtectedRoute.tsx","32","if (!user) {"
"app\components\auth\ResetPasswordForm.tsx","1","'use client';"
"app\components\auth\ResetPasswordForm.tsx","3","import { useState } from 'react';"
"app\components\auth\ResetPasswordForm.tsx","4","import { useForm } from 'react-hook-form';"
"app\components\auth\ResetPasswordForm.tsx","7","import { useAuth } from '@/lib/auth';"
"app\components\auth\ResetPasswordForm.tsx","13","const { resetPassword } = useAuth();"
"app\components\auth\ResetPasswordForm.tsx","14","const [isLoading, setIsLoading] = useState(false);"
"app\components\auth\ResetPasswordForm.tsx","15","const [message, setMessage] = useState<string | null>(null);"
"app\components\auth\ResetPasswordForm.tsx","16","const [error, setError] = useState<string | null>(null);"
"app\components\auth\ResetPasswordForm.tsx","18","const { register, handleSubmit, formState: { errors } } = useForm<ResetFormData>({ resolver: zodResolver(schema) });"
"app\components\auth\ResetPasswordForm.tsx","37","<label className=""block text-sm font-medium mb-1"">Email</label>"
"app\components\auth\SignInForm.tsx","1","'use client';"
"app\components\auth\SignInForm.tsx","3","import { useState } from 'react';"
"app\components\auth\SignInForm.tsx","4","import { useForm } from 'react-hook-form';"
"app\components\auth\SignInForm.tsx","6","import { useAuth } from '@/lib/auth';"
"app\components\auth\SignInForm.tsx","10","const { signIn } = useAuth();"
"app\components\auth\SignInForm.tsx","11","const [showPassword, setShowPassword] = useState(false);"
"app\components\auth\SignInForm.tsx","12","const [isLoading, setIsLoading] = useState(false);"
"app\components\auth\SignInForm.tsx","13","const [error, setError] = useState<string | null>(null);"
"app\components\auth\SignInForm.tsx","20","} = useForm<SignInFormData>({"
"app\components\auth\SignInForm.tsx","40","<label className=""block text-sm font-medium mb-1"" htmlFor=""email"">"
"app\components\auth\SignInForm.tsx","58","<label className=""block text-sm font-medium mb-1"" htmlFor=""password"">"
"app\components\auth\SignInForm.tsx","100","<a href=""/auth/signup"" className=""text-black hover:underline"">"
"app\components\auth\SignInForm.tsx","103","<a href=""/auth/reset-password"" className=""text-black hover:underline"">"
"app\components\auth\SignUpForm.tsx","1","'use client';"
"app\components\auth\SignUpForm.tsx","3","import { useState } from 'react';"
"app\components\auth\SignUpForm.tsx","4","import { useForm } from 'react-hook-form';"
"app\components\auth\SignUpForm.tsx","6","import { useAuth } from '@/lib/auth';"
"app\components\auth\SignUpForm.tsx","10","const { signUp } = useAuth();"
"app\components\auth\SignUpForm.tsx","11","const [showPassword, setShowPassword] = useState(false);"
"app\components\auth\SignUpForm.tsx","12","const [isLoading, setIsLoading] = useState(false);"
"app\components\auth\SignUpForm.tsx","13","const [error, setError] = useState<string | null>(null);"
"app\components\auth\SignUpForm.tsx","20","} = useForm<SignUpFormData>({"
"app\components\auth\SignUpForm.tsx","40","<label className=""block text-sm font-medium mb-1"" htmlFor=""email"">"
"app\components\auth\SignUpForm.tsx","58","<label className=""block text-sm font-medium mb-1"" htmlFor=""password"">"
"app\components\auth\SignUpForm.tsx","85","<label className=""block text-sm font-medium mb-1"" htmlFor=""confirmPassword"">"
"app\components\auth\SignUpForm.tsx","119","<a href=""/auth/signin"" className=""text-black hover:underline"">"
"app\components\auth\validation.ts","14","'Password must contain at least one uppercase letter, one lowercase letter, and one number'"
"app\components\auth\validation.ts","28","message: ""Passwords don't match"","
"app\components\billing\UpgradeButton.tsx","1","'use client';"
"app\components\billing\UpgradeButton.tsx","3","import { useState } from 'react';"
"app\components\billing\UpgradeButton.tsx","4","import { useAuth } from '@/lib/auth/hooks';"
"app\components\billing\UpgradeButton.tsx","12","snippetsUsed: number;"
"app\components\billing\UpgradeButton.tsx","17","export function UpgradeButton({ snippetsUsed, snippetsLimit, className = '' }: UpgradeButtonProps) {"
"app\components\billing\UpgradeButton.tsx","18","const [loading, setLoading] = useState(false);"
"app\components\billing\UpgradeButton.tsx","19","const { user } = useAuth();"
"app\components\billing\UpgradeButton.tsx","22","if (!user) {"
"app\components\billing\UpgradeButton.tsx","29","const token = await user.getIdToken();"
"app\components\billing\UpgradeButton.tsx","51","{snippetsUsed} / {snippetsLimit} drafts used this month"
"app\components\classes\AddStudentForm.tsx","1","'use client';"
"app\components\classes\AddStudentForm.tsx","3","import { useState } from 'react';"
"app\components\classes\AddStudentForm.tsx","4","import { useForm } from 'react-hook-form';"
"app\components\classes\AddStudentForm.tsx","16","const { register, handleSubmit, reset, formState } = useForm<StudentFormValues>({ resolver: zodResolver(studentSchema) });"
"app\components\classes\AddStudentForm.tsx","17","const [submitting, setSubmitting] = useState(false);"
"app\components\classes\ClassDetail.tsx","1","'use client';"
"app\components\classes\ClassDetail.tsx","3","import { useEffect, useState } from 'react';"
"app\components\classes\ClassDetail.tsx","9","const [cls, setCls] = useState<ClassMeta | null>(null);"
"app\components\classes\ClassDetail.tsx","10","const [loading, setLoading] = useState(true);"
"app\components\classes\ClassDetail.tsx","11","const [tab, setTab] = useState<'overview' | 'students' | 'context'>('overview');"
"app\components\classes\ClassDetail.tsx","13","useEffect(() => {"
"app\components\classes\ClassDetail.tsx","54","<h1 className=""text-2xl font-semibold"">{cls.name}</h1>"
"app\components\classes\ClassList.tsx","1","'use client';"
"app\components\classes\ClassList.tsx","3","import { useEffect, useState } from 'react';"
"app\components\classes\ClassList.tsx","9","const [classes, setClasses] = useState<any[]>([]);"
"app\components\classes\ClassList.tsx","10","const [loading, setLoading] = useState(true);"
"app\components\classes\ClassList.tsx","25","useEffect(() => {"
"app\components\classes\ClassList.tsx","32","<h2 className=""text-xl font-semibold"">Your classes</h2>"
"app\components\classes\ClassList.tsx","54","<div className=""font-medium"">{c.name}</div>"
"app\components\classes\ClassList.tsx","58","<Link href={`/classes/${c.id}`} className=""text-sm text-blue-600 hover:underline"">Open</Link>"
"app\components\classes\CreateClassForm.tsx","1","'use client';"
"app\components\classes\CreateClassForm.tsx","3","import { useState } from 'react';"
"app\components\classes\CreateClassForm.tsx","4","import { useForm } from 'react-hook-form';"
"app\components\classes\CreateClassForm.tsx","17","const { register, handleSubmit, reset, formState: { errors } } = useForm<CreateClassFormData>({"
"app\components\classes\CreateClassForm.tsx","20","const [loading, setLoading] = useState(false);"
"app\components\classes\CreateClassForm.tsx","21","const [error, setError] = useState<string | null>(null);"
"app\components\classes\EditStudentModal.tsx","1","'use client';"
"app\components\classes\EditStudentModal.tsx","3","import { useEffect, useState } from 'react';"
"app\components\classes\EditStudentModal.tsx","7","import { useForm } from 'react-hook-form';"
"app\components\classes\EditStudentModal.tsx","23","const form = useForm<StudentFormValues>({"
"app\components\classes\EditStudentModal.tsx","30","const [submitting, setSubmitting] = useState(false);"
"app\components\classes\EditStudentModal.tsx","42","useEffect(() => {"
"app\components\classes\EditStudentModal.tsx","73","<h2 id=""edit-student-title"" className=""text-xl font-semibold mb-4"">Edit Student</h2>"
"app\components\classes\EditStudentModal.tsx","77","<label htmlFor=""student-name"" className=""block text-sm font-medium text-gray-700"">Name</label>"
"app\components\classes\EditStudentModal.tsx","84","<label htmlFor=""student-email"" className=""block text-sm font-medium text-gray-700"">Email (optional)</label>"
"app\components\classes\StudentsTable.tsx","1","'use client';"
"app\components\classes\StudentsTable.tsx","3","import { useEffect, useState } from 'react';"
"app\components\classes\StudentsTable.tsx","5","import { useAuth } from '@/lib/auth/hooks';"
"app\components\classes\StudentsTable.tsx","12","const [students, setStudents] = useState<Student[]>([]);"
"app\components\classes\StudentsTable.tsx","13","const [loading, setLoading] = useState(true);"
"app\components\classes\StudentsTable.tsx","14","const { user } = useAuth();"
"app\components\classes\StudentsTable.tsx","15","const [editingStudent, setEditingStudent] = useState<Student | null>(null);"
"app\components\classes\StudentsTable.tsx","16","const [studentToDelete, setStudentToDelete] = useState<Student | null>(null);"
"app\components\classes\StudentsTable.tsx","19","if (!user) {"
"app\components\classes\StudentsTable.tsx","53","if (!user) {"
"app\components\classes\StudentsTable.tsx","72","useEffect(() => {"
"app\components\classes\StudentsTable.tsx","92","if (!user) {"
"app\components\classes\StudentsTable.tsx","123","description={`Are you sure you want to delete ${studentToDelete?.name ?? ''}? This action cannot be undone.`}"
"app\components\classes\StudentsTable.tsx","144","<div className=""font-medium"">{s.name}</div>"
"app\components\DraftClient.tsx","1","""use client"";"
"app\components\DraftClient.tsx","2","import { useEffect, useState } from ""react"";"
"app\components\DraftClient.tsx","3","import { TONE_DESCRIPTIONS, SAFEGUARD_DESCRIPTIONS, ERROR_MESSAGES } from ""./draft-constants"";"
"app\components\DraftClient.tsx","5","import { useAuth } from ""@/lib/auth/hooks"";"
"app\components\DraftClient.tsx","6","import { getUserProfile } from ""@/lib/firestore/usage"";"
"app\components\DraftClient.tsx","10","type Tone = ""warm"" | ""professional"" | ""direct"" | ""empathetic"";"
"app\components\DraftClient.tsx","14","const { user } = useAuth();"
"app\components\DraftClient.tsx","15","const [notes, setNotes] = useState("""");"
"app\components\DraftClient.tsx","16","const [tone, setTone] = useState<Tone>(""empathetic"");"
"app\components\DraftClient.tsx","17","const [language, setLanguage] = useState<Lang>(""en"");"
"app\components\DraftClient.tsx","18","const [loading, setLoading] = useState(false);"
"app\components\DraftClient.tsx","19","const [resp, setResp] = useState<any>(null);"
"app\components\DraftClient.tsx","20","const [err, setErr] = useState<string | null>(null);"
"app\components\DraftClient.tsx","21","const [profile, setProfile] = useState<any>(null);"
"app\components\DraftClient.tsx","22","const [loadingProfile, setLoadingProfile] = useState(false);"
"app\components\DraftClient.tsx","24","useEffect(() => {"
"app\components\DraftClient.tsx","26","if (!user) return;"
"app\components\DraftClient.tsx","29","const p = await getUserProfile(user.uid);"
"app\components\DraftClient.tsx","39","}, [user]);"
"app\components\DraftClient.tsx","42","if (!user) {"
"app\components\DraftClient.tsx","48","const token = await user.getIdToken();"
"app\components\DraftClient.tsx","55","body: JSON.stringify({ notes, tone, language }),"
"app\components\DraftClient.tsx","69","if (user) {"
"app\components\DraftClient.tsx","70","const p = await getUserProfile(user.uid);"
"app\components\DraftClient.tsx","74","const errMsg = e?.message?.toLowerCase() || """";"
"app\components\DraftClient.tsx","88","<h1 className=""text-2xl font-semibold"">Zaza Draft</h1>"
"app\components\DraftClient.tsx","92","snippetsUsed={profile.usage?.snippetsThisMonth ?? 0}"
"app\components\DraftClient.tsx","102","<label className=""block text-sm font-medium"">Notes</label>"
"app\components\DraftClient.tsx","112","{([""warm"",""professional"",""direct"",""empathetic""] as Tone[]).map(t => ("
"app\components\DraftClient.tsx","113","<Tooltip key={t} content={TONE_DESCRIPTIONS[t]}>"
"app\components\DraftClient.tsx","116","className={`rounded-full border px-3 py-1 text-sm ${tone===t ? ""bg-black text-white"" : """"}`}"
"app\components\DraftClient.tsx","117","onClick={() => setTone(t)}"
"app\components\DraftClient.tsx","118","aria-pressed={tone === t}"
"app\components\DraftClient.tsx","119","aria-label={`Set tone to ${t}`}"
"app\components\DraftClient.tsx","131","<option value=""en"">English</option>"
"app\components\DraftClient.tsx","132","<option value=""de"">Deutsch</option>"
"app\components\DraftClient.tsx","154","tone: {resp.tone} - lang: {resp.meta?.language}"
"app\components\DraftClient.tsx","198","<p className=""font-medium"">{resp.opening_line}</p>"
"app\components\DraftClient.tsx","200","<p className=""italic"">{resp.closing_line}</p>"
"app\components\draft-constants.ts","1","export const TONE_DESCRIPTIONS = {"
"app\components\draft-constants.ts","4","direct: ""Straightforward and specific, focused on key points"","
"app\components\draft-constants.ts","10","""tone-check"": ""Ensures communication remains constructive and respectful"","
"app\components\draft-constants.ts","11","""de-escalation"": ""Uses language that helps reduce tension or anxiety"","
"app\components\draft-constants.ts","13","""no-diagnosis"": ""Focuses on observations without medical/clinical claims"""
